"","date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"1",2022-01-05,"R",NA,"estimate",1.5107525786872,1.51431999884678,0.0805276424668794,1.38731255790652,1.45906018425544,1.49048922774477,1.53203982589127,1.56658920122437,1.65191549283057
"2",2022-01-06,"R",NA,"estimate",1.50268643483452,1.50467178257418,0.0782032188572404,1.37871180688854,1.45076472984251,1.48236879157322,1.52110347897629,1.5559703042668,1.63015639512114
"3",2022-01-07,"R",NA,"estimate",1.49870197161644,1.49895987888684,0.076910838832606,1.37577862279204,1.44573911132904,1.47703388864594,1.51537063032434,1.55319849727243,1.62262270370856
"4",2022-01-08,"R",NA,"estimate",1.50102588337838,1.49930956164472,0.0770663117528162,1.37438463165879,1.44476376846649,1.47893148312647,1.5199936969188,1.55036539758513,1.62573017903415
"5",2022-01-09,"R",NA,"estimate",1.50644766340492,1.5067824258667,0.0783688301803185,1.38246004101362,1.45101988314586,1.4857232481601,1.52614094460053,1.55904045501183,1.63673055231121
"6",2022-01-10,"R",NA,"estimate",1.51835588704108,1.52125232816662,0.0801003893782173,1.39260872343194,1.46514087069836,1.49884127679713,1.54032868380178,1.57518997751914,1.65692618667179
"7",2022-01-11,"R",NA,"estimate",1.53966743978798,1.54136727494839,0.0817178399574406,1.40825754870167,1.48641220424301,1.52012085369297,1.55882929422545,1.59484976659693,1.67651659152172
"8",2022-01-12,"R",NA,"estimate",1.56425643197192,1.5646011098974,0.083289895898702,1.42529205191338,1.51007883830562,1.5443374261602,1.5849505113303,1.61755739597428,1.70210060093949
"9",2022-01-13,"R",NA,"estimate",1.58696475527105,1.5874258282567,0.0854280447685268,1.44482895452076,1.52934975675405,1.56395044531531,1.611276020881,1.64466013541648,1.72605856157634
"10",2022-01-14,"R",NA,"estimate",1.60581092546536,1.60565469833711,0.0885809135912414,1.46069470129592,1.54425385169797,1.58147225699944,1.63093306702932,1.66758092048947,1.74907659422013
"11",2022-01-15,"R",NA,"estimate",1.61572176766901,1.61499558729028,0.0921681684865994,1.45981427321912,1.55369916400838,1.59208277377639,1.63991116095096,1.67841168354158,1.76793080597543
"12",2022-01-16,"R",NA,"estimate",1.61109342383947,1.61179382838533,0.0945971739715,1.45573233499369,1.54643216098945,1.58777727497334,1.63700219228222,1.6745144218261,1.76827273910965
"13",2022-01-17,"R",NA,"estimate",1.5929097596768,1.59383817924295,0.0946072522947172,1.44007655453036,1.53057446601308,1.56909311543334,1.61458769273395,1.65735167661449,1.74920548426446
"14",2022-01-18,"R",NA,"estimate based on partial data",1.55760729914027,1.56099985249971,0.0933297251999601,1.4129873489358,1.49978701789481,1.53504773234413,1.58057180772558,1.62169600920105,1.71820212019611
"15",2022-01-19,"R",NA,"estimate based on partial data",1.51408926083669,1.51545632849332,0.0958164336275483,1.36379165735356,1.4517412922281,1.49039943419916,1.53353652136642,1.57662992598136,1.68037378003923
"16",2022-01-20,"R",NA,"estimate based on partial data",1.45663504945784,1.46137371608438,0.109189207523472,1.28421504113,1.38979980082819,1.43153582344068,1.4844127603576,1.5309602859674,1.65048411915592
"17",2022-01-21,"R",NA,"estimate based on partial data",1.39984016151256,1.40413948456756,0.136697234274364,1.17852385875897,1.31158847052889,1.371541521843,1.43216416401291,1.4914252398942,1.6361777198863
"18",2022-01-22,"R",NA,"estimate based on partial data",1.3474213028097,1.34941891584698,0.17635230911213,1.06609689696576,1.22967768601567,1.30525239506964,1.38375404492151,1.46538804496107,1.64782464736339
"19",2022-01-23,"R",NA,"estimate based on partial data",1.29467389606208,1.30233974612255,0.22523161852214,0.94646693349852,1.1446595236733,1.2411552161029,1.34455021696782,1.44195572383287,1.69194154267095
"20",2022-01-24,"R",NA,"estimate based on partial data",1.24633169353754,1.26698953794216,0.281934534488466,0.832593722134778,1.06946260159056,1.1870182352403,1.31434777578101,1.43586160487321,1.75333192791095
"21",2022-01-25,"R",NA,"estimate based on partial data",1.21171342470234,1.24623693019005,0.346696646898451,0.740086507541974,1.00708618043468,1.13512848630681,1.28698376842462,1.43867442862175,1.86248166942483
"22",2022-01-26,"R",NA,"estimate based on partial data",1.18569416264845,1.24176474158964,0.420863491809138,0.657624444645191,0.944254568127385,1.10153859176149,1.28052290248893,1.46272058279215,2.0207096845398
"23",2022-01-27,"R",NA,"estimate based on partial data",1.17346946509275,1.25417166138693,0.506308963774856,0.591365791700152,0.897660689373662,1.07029082729709,1.28384968826405,1.49932844700502,2.21463461945294
"24",2022-01-28,"R",NA,"forecast",1.17346946509275,1.25417166138693,0.506308963774856,0.591365791700152,0.897660689373662,1.07029082729709,1.28384968826405,1.49932844700502,2.21463461945294
"25",2022-01-29,"R",NA,"forecast",1.17346946509275,1.25417166138693,0.506308963774856,0.591365791700152,0.897660689373662,1.07029082729709,1.28384968826405,1.49932844700502,2.21463461945294
"26",2022-01-30,"R",NA,"forecast",1.17346946509275,1.25417166138693,0.506308963774856,0.591365791700152,0.897660689373662,1.07029082729709,1.28384968826405,1.49932844700502,2.21463461945294
"27",2022-01-31,"R",NA,"forecast",1.17346946509275,1.25417166138693,0.506308963774856,0.591365791700152,0.897660689373662,1.07029082729709,1.28384968826405,1.49932844700502,2.21463461945294
"28",2022-02-01,"R",NA,"forecast",1.17346946509275,1.25417166138693,0.506308963774856,0.591365791700152,0.897660689373662,1.07029082729709,1.28384968826405,1.49932844700502,2.21463461945294
