,date,variable,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
1,2021-05-01,R,estimate,1.32924698484803,1.33149711251537,0.098666625471482,1.16569587292939,1.26868393524503,1.30694050528651,1.35430699345296,1.39803275511313,1.49687699238964
2,2021-05-02,R,estimate,1.32954341159706,1.3334007069604,0.096397605001704,1.17809810648054,1.27039697533897,1.30865131643379,1.35543954619619,1.396458041929,1.49618257159165
3,2021-05-03,R,estimate,1.33526386072141,1.33864021569418,0.095112779500077,1.18703146889018,1.2744036755582,1.31327986385123,1.35859139773839,1.40119606134054,1.50276968299356
4,2021-05-04,R,estimate,1.34207063349285,1.34596311045139,0.095351362672271,1.19411483399255,1.28293343036503,1.31885965648488,1.36411503908469,1.404553196611,1.50637269211686
5,2021-05-05,R,estimate,1.34976492376766,1.35383353066432,0.097291926405401,1.20159416948871,1.28945001577827,1.32550557169577,1.37138319495685,1.4147957896176,1.51817867643534
6,2021-05-06,R,estimate,1.35323998037087,1.360550189238,0.100508756235773,1.2066474057278,1.29614622579285,1.329833039557,1.37720977237757,1.42435927723342,1.53017422614689
7,2021-05-07,R,estimate,1.35726952340784,1.3644142513238,0.104046239738661,1.20909275740361,1.29395282953482,1.3354620051863,1.38139029593198,1.42614745233454,1.54123792674971
8,2021-05-08,R,estimate,1.35825379725855,1.36393333140741,0.106822958430394,1.20790257478829,1.29094054396239,1.33170667662409,1.38194496372501,1.42464712387397,1.54791762424732
9,2021-05-09,R,estimate,1.35110870759296,1.3580287052897,0.108172083403684,1.20004176504132,1.28243417283904,1.32451431321787,1.3773754148839,1.42050442179434,1.53969433952344
10,2021-05-10,R,estimate,1.33950223449489,1.34619961732678,0.108305916087513,1.18578606987352,1.27174885597287,1.31319825007444,1.36305880687996,1.41122552123246,1.53331801802765
11,2021-05-11,R,estimate,1.32202347127193,1.32860037791482,0.10851367272125,1.16526973535643,1.25567743522761,1.29600165583466,1.34776385967826,1.39187159088095,1.51569490292889
12,2021-05-12,R,estimate,1.30085802474146,1.30600618855614,0.110855169110356,1.13414496357001,1.23174533422045,1.27410043689022,1.32563800230267,1.37180427867198,1.49876511950571
13,2021-05-13,R,estimate,1.27561578964948,1.27967578998919,0.117231115977259,1.09105228729684,1.19951431475923,1.24376642154934,1.30329893954914,1.35063522289704,1.48782035086382
14,2021-05-14,R,estimate,1.24704480909493,1.25114891587996,0.128350544779996,1.042868289559,1.16340029076143,1.21325563450646,1.27946027133768,1.33137913098763,1.47364142564129
15,2021-05-15,R,estimate based on partial data,1.21710426406966,1.22203054481345,0.143550312862175,0.992357440871741,1.12516174659092,1.17902181235426,1.25387721691864,1.31865928304945,1.46849393881065
16,2021-05-16,R,estimate based on partial data,1.19024837887531,1.1938075700982,0.16150647038991,0.938625611406417,1.08344432623806,1.14808184389124,1.23203165847692,1.30048137408808,1.46591034680435
17,2021-05-17,R,estimate based on partial data,1.16471396250533,1.1677233206728,0.180985493620946,0.881011399059389,1.04337194119351,1.12160598232137,1.21149367392178,1.2863905813496,1.4709296817552
18,2021-05-18,R,estimate based on partial data,1.14283253600464,1.14471320463079,0.201172847805327,0.82415200755243,1.00715697378868,1.0945473854834,1.19267131722462,1.27209226359657,1.48046278275836
19,2021-05-19,R,estimate based on partial data,1.11894733356074,1.12538973874778,0.221678477984745,0.76910049559473,0.973917717009305,1.06550480522615,1.17420566899399,1.2634390278958,1.49331062422028
20,2021-05-20,R,estimate based on partial data,1.10051489015845,1.11005996605874,0.24241614025798,0.722978204451146,0.945472559532506,1.04431210819782,1.16024890384085,1.2613607695997,1.51869572364291
21,2021-05-21,R,estimate based on partial data,1.08519887404082,1.0987602629611,0.263466291850141,0.685599612552105,0.921468140457035,1.0210678608255,1.15096158175114,1.26210009892728,1.54792142609512
22,2021-05-22,R,estimate based on partial data,1.07382730042515,1.09129878326742,0.28496200009956,0.649669020393063,0.899490990534144,1.00413675306502,1.14310683355959,1.26664045383896,1.5814957646848
23,2021-05-23,R,estimate based on partial data,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
24,2021-05-24,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
25,2021-05-25,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
26,2021-05-26,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
27,2021-05-27,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
28,2021-05-28,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
29,2021-05-29,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
30,2021-05-30,R,forecast,1.06267155616731,1.08730120744022,0.307006162654975,0.62080533974858,0.879971923755472,0.9905272216814,1.13888296656074,1.27474077340499,1.61914380337674
